Company,Symbol,Statement,Section,Metric,Year,Value,Unit,Source
Tata Consultancy Services Ltd,TCS,Ratios,Summary,ROCE %,2022,51,Percentage,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,ROCE %,2023,44,Percentage,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,ROCE %,2024,39,Percentage,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,ROCE %,2025,47,Percentage,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,Working Capital Days,2020,52,Days,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,Working Capital Days,2021,33,Days,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,Working Capital Days,2022,62,Days,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,Working Capital Days,2023,62,Days,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,Working Capital Days,2024,61,Days,Screener.in
Tata Consultancy Services Ltd,TCS,Ratios,Summary,Working Capital Days,2025,70,Days,Screener.in
