source,text,sentiment
youtube,As a shareholder I don't want him to resign as CEO,-0.3863
youtube,As a shareholder I don't want him to resign as CEO,-0.3863
youtube,Is it due to Tamil background,0.0
youtube,Which group of people selected him as CEO,0.0
news,"TCS opens second Blind Bake Café, the first one at its Chennai campus - BusinessLine <a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxOaTg3cEZXM280Tm1nUmI5d2U0SEZ4QVI4SU4wVy05SFZIcDJmODlmOE9TcktuTUhLbFRodUF6YjQ4S1F6bmltNVNxbU03b3hwWmpvQTYtU0g4WGVRT2NIbmdJNlUxbDI2azc1dC1oY1NTZmpqWFNHNmhvRThQVFpUVjRMT2JGYnplSFk1M25QV3Fvakt0WmhrN0V2ZFduWlFiUHo2eG5aXzFvV1NQemVOY2FzcXhJNlhQcXAzNWZ6eWQzRThNMGFuTGlhNjVvR3Yx0gHXAUFVX3lxTE9vTUdyYjdJcXQyMDNPOVJDUU1SajBPTEdOVG5iYTJGM2hhZFd5anpxek8wWnJGUlk1OFU1WmJqRUdicHZjSnMwQzc2aWNmdWt6V1p1SURkNElkSW1GRGdkSUpZbnBzRHVWRURLTl94dTBrdmk2RzMxUkR1eXliMjZjaG1lSEM0VnVvb1pOS25aUWI3S0lGTjBkc3Q2RDVTSVMwbTJDc0pzZ0ZObk1zLUFqQnhwNWh6ZHNzd1p2ejV4Sy04YzI1N3V0ekZVNWtxbGJhQTB5SW5Z?oc=5"" target=""_blank"">TCS opens second Blind Bake Café, the first one at its Chennai campus</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BusinessLine</font>",-0.6597
news,"TCS Share Price Highlights: TCS Stock Price History - The Economic Times <a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxOTF9DLVNvaVgwVTU1bTF4eDJqeGw0SzU2TFNJaXlCWUNIcWFGRE05d2RiVUlxdlVueTFiU2dOcmJYVnhDN0pUQUR1U01PcHh2a1Vfc2R4YklqNjZrZ2duOHhNeEgzb0V1OG5QQUhGdGJleG05NC0zUTU5NU5DWHgwNEI4dzNDWmpEdVM5YUZZQzJuS3R3NkJ5UkVtVk44M3RtUER3NTgtYWV0UW5DMTRycHhLa9IBuAFBVV95cUxQTFJsSURoTTBQMm9XbTh3M2NvU2xwb2xjVi14VldnU1d4TjFqVlZhLWlRak1MV3ZXTzNCQm1DaEItOXBHS3R2bXRTMGs3QmRUejlYdHUxOXpVLUdEVWZUbUhvdk5zaGYtbWRzRFVvOXZZVEFnVFoyeVF6R2x1dWpQQ21JdTU0Tm5YcnhsV29CN3VJRDJfb2hINlZhR0tKRHBYdlJ2RHhPZnQ5M3BtaVo0YU56czMwT0t4?oc=5"" target=""_blank"">TCS Share Price Highlights: TCS Stock Price History</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",0.5267
news,"TCS, Trent shares hit hard as Tata group loses Rs 5.5 lakh crore in market value in 2025 - Business Today <a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxPTld1aWJMVFR4bnI0NWotZ1ZER3MxQmVwakV2dDBoZEVYNEQxUDZWYWVQVzNsblVsQnY1VTczaWVEa1ltTlV3WnJlUG9qYnFxLWZsTjVHTG1oeDZiTUdGaW5ELUJKRjFOd05JUjVwZkRfTWtZUGtsSk1JVlNmS3NNY3hkYWxxeE1BUlh4cVlFckFRRzV0S2RYdTNjd2FicmpXbHRmdENLREJ2U3pRTGo4NC03RDdOTG1Ua3JKemg5UjJwemttcFVveExJeGExUU5CSDl2NHBWdXJOUzU2eEF6dGE1bklKTHpaTEHSAe8BQVVfeXFMTldMN3Z5YThSTkNjWThLdEdSV2ZLTmR4X3hWbjVrdjAxWS1ZUEVvM0x0N08wYWhhVGdUWldDdVNKekFGRVNHQkdpcjVUbGdDZFJHMDdZdEt0STZueGxaT1BFaFdScVA3elVuVUdZN2FCS05lVVV5VllQVjZYTGcxVFUwZ3lsTVY1akJJOTBaV2xyQkZPbjRYVGZSUG0yQ2RSUk9nWTlYMEFhREtqYVgzbGd5cVFMc0FHSnVvZWJ6WXNGRnBycW1kQmgyREExNGR1NlladmlDQnFYdnNMWVlUajdLRnNpOUJ5N0lCbGhfY2s?oc=5"" target=""_blank"">TCS, Trent shares hit hard as Tata group loses Rs 5.5 lakh crore in market value in 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",0.4215
news,"Mcap of 5 top valued firms surges ₹72,285 cr; TCS, Infosys biggest winners - Business Standard <a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxNbVpMb0VER3pfYXVmc2Q2SzFOa1hNQVVtbjNMakM4MHhtdk1XUUdmSTdiWHNDWGR5VmNmejVTalNfZVpzSEhHTUVwV0Fsbl84YUJmd29QYl9NNzdSaE16b0lZNktSczRmRUw0TnpEaF9uX2txVUxQSkZlNS1qaEo5dC1WTzF6RkVUTHRMcDQwb1ViaG4xdFFOTDlla24xT1ZjX0ZZcUhsVjVSb0NGaksxQWVZLUNqRzliMkFmUjRPQ0NWMlVqWlNQVnVBQzlCQVdjVHVsUtIB2gFBVV95cUxPOG1BSi00VW1pUFlfYU92a1NFajJGZGlMSWNOWFVmbUxmbTFBanhaUXdPMVduWlQ4VnNfOVJGMU1NZHczVEJrY3FZOGhNV21zaUhVOF9udDF2bXgtMW05OUtwS0lSS3NieGowT1Z4cDVTWE1mZ0JNRVEwcElsdzFKM0NLTTV6X2oySnB3ZmNrS1B2WG1rcEtJVVB0dmtHZjYzd3E5NkFGVG5wVmJURk05amdnSmJQTldsVE14X2RXLWxlMUVCdVA1MGd0Yk42amIwQlp3X3BrOEF5dw?oc=5"" target=""_blank"">Mcap of 5 top valued firms surges ₹72,285 cr; TCS, Infosys biggest winners</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",0.8885
news,"MAJOR boost for Ratan Tata's TCS as it earns Rs 359095200000 in just five days! Market cap surges to... - india.com <a href=""https://news.google.com/rss/articles/CBMiyAJBVV95cUxNU202ZXpQdlRHN2ZXTTg3cTVycVQyY0xOMHBvaHpTSUVPbGJLM1dRajJZNXU5RDhYYVRvbG43OXI4aVQ1NkJCbDM5ZW8taGk2N1ktSl9mcHlFU1h5NFVCclpWMUZxNWszbnVfd0FrWFBXOGVZcXZEcS1PTkxEU2E2QnBubG8wZWhtazZOeFdJZjM0Yk5yZGNFZWZ0ak1jaVpDWENZazdZUjFReEd3MXQ0OWFrTzRkQkh3M1ZfY2hUSXdwSzFXSUxXZ1d4a2c4eEUzR3ZjdkVsTGJkT1dZd2txTDBzU3Q4Q0ZES0JZR3pBV3dvTmlTVDJhdVVVRnh4S2M4cTlROGtCSDB0VmJSWkl6RnIxY3p1YlpuelB6cldUeGt4QVpIdHNtSjBaUS0wV3lHN3RTWTV0Z0VFVkNMWFB5amNUdDBUZWt30gHOAkFVX3lxTE9nMEI2Zzd0WlRxNjRTMGQxZnprSllWZTNRWjVpQktmV24xdFo2aWVFVkYtenBrNzdVMzd5YUhoVHhLaDlWVG5lSHNsR1pVcHdaOUY1MkhzWDhpY2FqNi1xc1c4eFAxa0kyUzh1QlMwODU1bXh2Mm5ZWkItY2xxQnBJN0lkZ0lYRGRoODBoVld1QzJBbGRRdWZRUEZ2cnBxVUdZYnRJRVBmSXlwcGVTY0hzY0FDdXRrRlp6NFRQYnFOTDRhZDd6b0VleVBkRnROTV9oZmRPUWxwUFd5TG5IQTJidGFUUi02Nms0SmotWlFSbHdTUURpT0pHMUZONEFaM3gwTjBydV9mZGozSHpGQ091eFFjTnFxTURETU5pVk9GaEtlUHNOZUZvRmt4bmJ1YVd5cmhiYURLMFdreTRLUEZuemJ4TGdaZ2xYUVdNX2c?oc=5"" target=""_blank"">MAJOR boost for Ratan Tata's TCS as it earns Rs 359095200000 in just five days! Market cap surges to...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">india.com</font>",0.7912
news,"Market capitalisation of 5 of top-10 most valued firms surges ₹72,285 crore; TCS, Infosys biggest gainers - livemint.com <a href=""https://news.google.com/rss/articles/CBMiggJBVV95cUxQd0dzbkI2SDNqWkFTSFpwMlVadkdpTXJmMV91blhLT1dzRFpNbzFhVE9pak05NEtqM0NfU3kxbjlRbHo2ODBLczhvbjFHdHQ2MS02M29pN3N5UFpKQkRIbXVuRUo5aHJqU21nQXhDU3FzSXAxNzFKckkzaElHMDlwLVJPR2xGWUlSYXRMcFlGbFBZdFF4cHZPTENqeVRTMmkwSFBsQ1ByeFdnRHhjQkZSR2RLRzBaWUZBUDdobU5tVThrZWY2bWZBYV8ySGZmd2p4TW9IREEtQ3M4QnYxN1JLVEx4WjFCRm11WW0xaFh3UXYtc1hMR1BzOEhpSVh0eGR0amfSAYcCQVVfeXFMT01wbHozRGNSTk1lY3hvdjI0Q0hQVHdXY253dFZiUHAxSlBRNmd5eVh1dXNLb2YtTi1aY2V0VW12VUxISzRyckw5cHlpX3FIVmRFaUNZUHdONmxlNkw2RHRFRlJmUi1aTlJDR1lDdlZHbkg2bEpqdHFfNU51U2xTUE51ZmNac0lEV29SWk1BWjhEdDhfVi1KTlFwbERHUXcxaHRHNmFzRWgyUHprNk9fbGRhdkxmN1B1ZjNkQ2J0ZVQ0RjBZeG1PaUdGRDVHNER6RFI2ak81RHJ6S2pHM2hvVTdNTndQcm5CUG1VaTZCenFNaXB4TXZJdG0wVDY1dFRSRm9WZzA5TVE?oc=5"" target=""_blank"">Market capitalisation of 5 of top-10 most valued firms surges ₹72,285 crore; TCS, Infosys biggest gainers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">livemint.com</font>",0.7496
news,"Coforge, TCS, HCLTech, other IT stocks decline up to 4% despite Fed rate cut hopes: Here's why - TradingView <a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxNZV9RTlY4VjVoZ3U0TFYyT2N4eEprYVdoSHRkWnh3Y09TTVA5QUJYNWZ4Z2RfZTJ5eU1vdWhUVl91N3JkREpyY0VQeUZuT0NVdmxSdG1kS1FLYlNzODNsMzdlTGdMQnRJSnRLbkh0N3N5MGFaMHNjZC0xODF1dnRTV2FXR1hkLUdBQURUdUQtei00Vm15djQ4Qk4wTlRuellSR0k1YXpLVHBUMmFtNjdObGJrZkdjVUE1QWQ1Uk55QXV2RVFCNFN4U3FIOU93ZGYtX2FYSE9TQ1JFdnFkZzh4Zm5IY0gxX0U?oc=5"" target=""_blank"">Coforge, TCS, HCLTech, other IT stocks decline up to 4% despite Fed rate cut hopes: Here's why</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",0.8035
